CD_ENTIDADE,NM_ENTIDADE,TP_ENTIDADE,DC_TIPO_ENTIDADE,TX_ACERTO,DC_HABILIDADE,CD_HABILIDADE,VL_FILTRO_DISCIPLINA,VL_FILTRO_ETAPA,VL_FILTRO_REDE,VL_FILTRO_AVALIACAO,DC_FILTRO_AVALIACAO,NM_REGIONAL
00008,BATURITE,02,REGIONAL,49,Inferir o sentido de palavra ou expressão a partir do contexto.,H 05 (D022_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00005,TIANGUA,02,REGIONAL,44,Corresponder números racionais a pontos da reta numérica.,H 07 (D015_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),TIANGUA
00002,ITAPIPOCA,02,REGIONAL,25,Calcular o valor numérico de uma expressão algébrica.,H 12 (D120_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ITAPIPOCA
00007,CANINDE,02,REGIONAL,56,Utilizar informações apresentadas em tabelas ou gráficos na resolução de problemas.,H 20 (D201_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00006,SOBRAL,02,REGIONAL,50,"Utilizar números naturais, envolvendo diferentes significados das operações de multiplicação e divisão, na resolução de problemas.",H 06 (D032_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00007,CANINDE,02,REGIONAL,12,Utilizar sistema de equações polinomiais de 1º grau na resolução de problema.,H 10 (D087_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),CANINDE
00008,BATURITE,02,REGIONAL,70,Reconhecer efeitos de sentido decorrentes do uso ou função da pontuação e de outras notações.,H 07 (D025_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,ESTADUAL,18621,1º AVALIE.CE 2024,
00004,CAMOCIM,02,REGIONAL,54,Inferir informações em textos.,H 05 (D023_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00008,BATURITE,02,REGIONAL,57,"Utilizar números naturais, envolvendo diferentes significados das operações de adição e subtração, na resolução de problemas.",H 07 (D031_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),BATURITE
00002,ITAPIPOCA,02,REGIONAL,60,Inferir informações em textos.,H 06 (D023_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ITAPIPOCA
